state,known_by,status_raw,previous_status_raw,plan_id,event_type,status_after,in_effect_for_2026,date_basis,source_url,notes,_resolution_days,_looks_like_rewording,_first_observation,_page,_evidence
OH,2025-08-29,Pending legislative action,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!Ohio | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | Ohio voters amended the constitution in 2018, creating a process that requires both Republicans and Democrats in the state legislature to vote on the new congressional map. However, in the 2020 redistricting cycle, Democrats "
OH,2025-10-31,New districts enacted,Pending legislative action,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,,2026 United States House of Representatives elections,"!Ohio | data-sort-value=0 bgcolor=""#C0C0C0"" | New districts enacted | Ohio voters amended the constitution in 2018, creating a process that requires both Republicans and Democrats in the state legislature to vote on the new congressional map. However, in the 2020 redistricting cycle, Democrats did n"
SC,2025-08-30,Litigation pending,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!South Carolina | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | In the case League of Women Voters of South Carolina v. Alexander, the South Carolina Supreme Court heard arguments in June 2025 as to whether the congressional maps are an unlawful partisan gerrymander in violation of the "
SC,2025-09-17,Previous districts left in place,Litigation pending,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,,2026 United States House of Representatives elections,"!South Carolina | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | In the case League of Women Voters of South Carolina v. Alexander, the South Carolina Supreme Court heard arguments in June 2025 as to whether the congressional maps are an unlawful partisan gerrymander in vio"
SC,2025-10-24,Districts left in place,Previous districts left in place,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,yes,,2026 United States House of Representatives elections,"!South Carolina | data-sort-value=3 bgcolor=""#808080"" | Districts left in place | In League of Women Voters v. Alexander, the South Carolina Supreme Court heard arguments in June 2025 as to whether the congressional maps are an unlawful partisan gerrymander in violation of the state's constitution. "
TX,2025-07-31,Pending legislative action,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!Texas | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | In early 2025, reports that the Trump Administration were urging Texas officials to visit redrawing congressional districts. This was followed by a meeting of the Texas Republican congressional delegation to discuss mid-deca"
TX,2025-08-21,Pending legislative action and litigation pending,Pending legislative action,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,,2026 United States House of Representatives elections,"!Texas | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action and litigation pending | In the case League of United Latin American Citizens v. Abbott, a trial was from May through June 2025 in the United States District Court for the Western District of Texas as to whether or not the con"
TX,2025-08-29,Litigation pending,Pending legislative action and litigation pending,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,,2026 United States House of Representatives elections,"!Texas | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | In the case League of United Latin American Citizens v. Abbott, a trial was from May through June 2025 in the United States District Court for the Western District of Texas as to whether or not the congressional districts passed by "
UT,2025-07-31,Litigation pending,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!Utah | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | The Utah Supreme Court heard arguments in July 2023 in League of Women Voters v. Utah State Legislature alleging that the Utah Legislature violated a citizen-passed anti-gerrymandering proposition by dividing Salt Lake County voters "
UT,2025-08-26,Pending legislative action,Litigation pending,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,,2026 United States House of Representatives elections,"!Utah | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | The Utah Supreme Court heard arguments in July 2023 in League of Women Voters v. Utah State Legislature alleging that the Utah Legislature violated a citizen-passed anti-gerrymandering proposition by dividing Salt Lake County"
VA,2025-10-23,Pending legislative action,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!Virginia | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | Democratic state lawmakers announced a plan to alter the state constitution to draw a new congressional map before the 2026 elections making 2-3 more Democratic seats. | colspan=""3"""
WI,2025-07-31,Previous districts left in place,,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,yes,2026 United States House of Representatives elections,"!Wisconsin | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | On May 8, 2025, a lawsuit challenging the state's congressional districts was filed in the Wisconsin Supreme Court based on partisan gerrymandering favoring Republicans. On June 25, 2025, the Court dismissed the ch"
WI,2025-10-01,Litigation pending,Previous districts left in place,,,,,wiki_first_seen,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,1,,,2026 United States House of Representatives elections,"!Wisconsin | Litigation pending | On July 22, 2025, a lawsuit was filed by two liberal law firms in a Wisconsin district court, asking to consider the constitutionality of Wisconsin's Congressional Maps. On September 25, the Wisconsin Supreme court addressed this lawsuit and asked each party to prov"
