plan_id,event_date,known_by,date_basis,event_type,status_after,in_effect_for_2026,court_case,source_url,notes,_state,_confidence,_left_censored,_resolution_days,_days_present,_last_seen,_page,_section,_evidence
,,2025-08-04,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,TX,high,,1,3,2025-08-06,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"Governor Greg Abbott has called a special session in Texas to redraw the states congressional districts in order to draw up to 5 more Republican leaning seats. The plan was released on July 30, 2025, though is still subject to change. Similarly, a new map is required in Ohio due to an amendment to t"
,,2025-08-07,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,TX,high,,1,22,2025-08-28,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"Governor Greg Abbott has called a special session in Texas to redraw the states congressional districts in order to draw up to 5 more Republican leaning seats at the request of President Donald Trump. The plan was released on July 30, 2025, though is still subject to change. Similarly, a new map is "
,,2025-08-09,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,high,,1,41,2025-09-18,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"Democrats have threatened to retaliate against attempts to mid-decade redistrict for partisan gain and have stated the possibility of redrawing the congressional maps in blue states. In California, a proposed map has been drafted eliminating 5 Republican districts to combat Texas's plan, but it woul"
,,2025-08-09,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,high,,1,8,2025-08-16,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!California | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | In response to Texas, a new map is being considered in California that would create five new Democratic seats and shore up existing Democratic seats. However, due to the state's independent commission, the map would be "
,,2025-08-17,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,high,,1,4,2025-08-20,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!California | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action and referendum | In response to Texas, a new map is being considered in California that would create five new Democratic seats and shore up existing Democratic seats. However, due to the state's independent commission, th"
,,2025-08-21,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,high,,1,41,2025-10-01,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!California | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending referendum | In response to Texas, a new map is being considered in California that would create five new Democratic seats and shore up existing Democratic seats. However, due to the state's independent commission, the map would be on a 202"
,,2025-08-21,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,TX,high,,1,8,2025-08-28,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!Texas | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action and litigation pending | In the case League of United Latin American Citizens v. Abbott, a trial was from May through June 2025 in the United States District Court for the Western District of Texas as to whether or not the con"
,,2025-08-21,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,TX,high,,1,9,2025-08-29,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"In early 2025, reports that the Trump Administration were urging Texas officials to visit redrawing congressional districts. This was followed by a meeting of the Texas Republican congressional delegation to discuss mid-decade redistricting to secure extra Republican seats. On July 9, Governor Greg "
,,2025-08-26,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,UT,high,,1,3,2025-08-28,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!Utah | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | The Utah Supreme Court heard arguments in July 2023 in League of Women Voters v. Utah State Legislature alleging that the Utah Legislature violated a citizen-passed anti-gerrymandering proposition by dividing Salt Lake County"
,,2025-08-29,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,TX,high,,1,29,2025-09-27,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"Governor Greg Abbott has called a special session in Texas to redraw the states congressional districts in order to draw up to 5 more Republican leaning seats at the request of President Donald Trump. After Texas House Democrats staged a weeks-long walkout, the Texas Legislature passed the new maps "
,,2025-08-29,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,TX,low,,1,1,2025-08-29,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!Texas | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | In the case League of United Latin American Citizens v. Abbott, a trial was from May through June 2025 in the United States District Court for the Western District of Texas as to whether or not the congressional districts passed by "
,,2025-08-30,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,GA,high,,1,78,2025-11-17,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!Georgia | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | A federal district judge ruled on October 26, 2023, that Georgia's districts are racially gerrymandered and ordered a new map with an additional majority-Black district. A new map was drawn for the 2024 elections; however, it is b"
,,2025-08-30,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,SC,high,,1,18,2025-09-16,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!South Carolina | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | In the case League of Women Voters of South Carolina v. Alexander, the South Carolina Supreme Court heard arguments in June 2025 as to whether the congressional maps are an unlawful partisan gerrymander in violation of the "
,,2025-09-17,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,SC,high,,1,15,2025-10-02,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!South Carolina | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | In the case League of Women Voters of South Carolina v. Alexander, the South Carolina Supreme Court heard arguments in June 2025 as to whether the congressional maps are an unlawful partisan gerrymander in vio"
,,2025-09-20,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,high,,2,12,2025-10-01,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"Democrats have threatened to retaliate against attempts to mid-decade redistrict for partisan gain and have stated the possibility of redrawing the congressional maps in blue states. In California, the state legislature has drafted a map eliminating 5 Republican districts to combat Texas' plan, but "
,,2025-09-28,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,TX,high,,1,48,2025-11-15,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"Governor Greg Abbott has called a special session in Texas to redraw its congressional districts to draw up to 5 more Republican leaning seats at the request of President Donald Trump. After Texas House Democrats staged a weeks-long walkout, the Texas Legislature passed the new maps on August 23, wi"
,,2025-10-02,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,high,,1,33,2025-11-04,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"Democrats have threatened to retaliate against attempts to mid-decade redistrict for partisan gain and have stated the possibility of redrawing the congressional maps in blue states. In California, the state legislature has drafted a map eliminating five Republican districts to combat Texas's plan, "
,,2025-10-02,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,low,,1,1,2025-10-02,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!California | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending referendum | In response to Texas, a new map is being considered in California that would create five new Democratic seats and shore up existing Democratic-held seats. However, due to the state's independent commission, the map would be on "
,,2025-10-03,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,AR,high,,1,20,2025-10-23,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!Arkansas | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | In Christian Ministerial Alliance v. Thurston, plaintiffs alleged racial gerrymandering diluting the voting power of black voters by splitting Little Rock into three districts; the case was heard in a federal distri"
,,2025-10-03,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,high,,1,24,2025-10-27,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!California | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending referendum | In response to Texas, a new map is being considered in California that would create five new Democratic-leaning seats and shore up existing Democratic-held seats. However, due to the state's independent commission, the map is s"
,,2025-10-03,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,SC,high,,1,20,2025-10-23,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!South Carolina | data-sort-value=3 bgcolor=""#808080"" | Previous districts left in place | In League of Women Voters v. Alexander, the South Carolina Supreme Court heard arguments in June 2025 as to whether the congressional maps are an unlawful partisan gerrymander in violation of the state's const"
,,2025-10-14,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,LA,high,,1,35,2025-11-17,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!Louisiana | data-sort-value=1 bgcolor=""#FFFFFF"" | Litigation pending | The U.S. Supreme Court heard arguments challenging Louisiana's new congressional map, drawn in 2024, which created another majority-black congressional district, as a group of ""non-African American voters"" challenged the map as "
,,2025-10-23,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,VA,high,,1,8,2025-10-30,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!Virginia | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | Democratic state lawmakers announced a plan to alter the state constitution to draw a new congressional map before the 2026 elections making 2-3 more Democratic seats. | colspan=""3"""
,,2025-10-24,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,AR,high,,1,25,2025-11-17,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!Arkansas | data-sort-value=3 bgcolor=""#808080"" | Districts left in place | In Christian Ministerial Alliance v. Thurston, plaintiffs alleged racial gerrymandering diluting the voting power of black voters by splitting Little Rock into three districts; the case was heard in a federal district court,"
,,2025-10-24,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,SC,high,,1,25,2025-11-17,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!South Carolina | data-sort-value=3 bgcolor=""#808080"" | Districts left in place | In League of Women Voters v. Alexander, the South Carolina Supreme Court heard arguments in June 2025 as to whether the congressional maps are an unlawful partisan gerrymander in violation of the state's constitution. "
,,2025-10-27,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,IN,high,,1,22,2025-11-17,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!Indiana | Pending legislative action | Governor Mike Braun stated that the state legislature will convene for a special session on redistricting, along with other state issues such as taxes. | colspan=""3"""
,,2025-10-28,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,high,,1,8,2025-11-04,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!California | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending referendum | In response to Texas, a new map is being considered in California that would create five new Democratic-leaning seats and shore up existing Democratic-held seats. However, due to the state's constitution prohibiting the Califor"
,,2025-10-31,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,,high,,1,18,2025-11-17,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"+Summary of mid-decade changes to congressional districts in advance of the 2026 election cycle ! rowspan=""3"" | State (linked to summaries below) ! rowspan=""3"" | Status ! rowspan=""3"" class=""unsortable"" | Notes ! rowspan=""3"" class=""unsortable"" | ! colspan=""3"" style=""text-align:center"" | Change in par"
,,2025-10-31,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,OH,high,,1,18,2025-11-17,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!Ohio | data-sort-value=0 bgcolor=""#C0C0C0"" | New districts enacted | Ohio voters amended the constitution in 2018, creating a process that requires both Republicans and Democrats in the state legislature to vote on the new congressional map. However, in the 2020 redistricting cycle, Democrats did n"
,,2025-10-31,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,VA,high,,1,11,2025-11-10,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!Virginia | data-sort-value=1 bgcolor=""#FFFFFF"" | Pending legislative action | Democratic state lawmakers announced a plan to alter the state constitution to draw a new congressional map before the 2026 elections making 3-4 more Democratic seats. | colspan=""3"""
,,2025-11-05,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,high,,1,11,2025-11-15,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"Democrats have threatened to retaliate against attempts to mid-decade redistrict for partisan gain and have stated the possibility of redrawing the congressional maps in blue states. In California, the state legislature has drafted a map eliminating five Republican districts to combat Texas's plan. "
,,2025-11-05,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,high,,1,13,2025-11-17,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!California | data-sort-value=0 bgcolor=""#C0C0C0"" | New districts enacted | In response to Texas, a new map has been approved by voters in a special Statewide election temporarily permitting an off-cycle redistricting. The state's constitution prohibits the California State Legislature from drawing "
,,2025-11-16,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,CA,high,,1,92,2026-02-15,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"Democrats have threatened to retaliate against attempts to mid-decade redistrict for partisan gain and have stated the possibility of redrawing the congressional maps in blue states. In California, the state legislature drafted a map eliminating five Republican districts to combat Texas's plan, whic"
,,2025-11-16,wiki_first_seen,,,,,https://en.wikipedia.org/wiki/2026_United_States_House_of_Representatives_elections,,FL,medium,,1,2,2025-11-17,2026 United States House of Representatives elections,Crossover seats > Out-of-cycle partisan redistricting efforts,"!Florida | data-sort-value=3 bgcolor=""#808080"" | Districts left in place | A state circuit judge ruled in September 2023 that the map passed by the state legislature discriminated against Black voters by redrawing the formerly plurality-Black 5th district to no longer have a Black plurality; Florida"
